タスク ID,タスク名,バケット名,進捗状況,優先度,割り当て先,作成者,作成日,開始日,期限日,定期的,遅延,完了日,完了者,説明,チェックリスト アイテム,完了したチェックリスト アイテム,ラベル
sETiMVQJxjszVcn27Dhpjf3Y-uAA,要件ヒアリング（営業部）,要件定義,完了,重要,田中 健太,田中 健太,2026/04/06,2026/04/06,2026/04/10,いいえ,いいえ,2026/04/09,田中 健太,"Predecessors:_eOGh--DLdmc4VuFKppJ-gOnvpAA
営業部の月次業務フローをヒアリングし、現行運用の課題を洗い出す。",ヒアリングシート作成;日程調整;議事録展開,ヒアリングシート作成;日程調整;議事録展開,要件定義
hzjGjjr_kZX2jL91bEj9AqhGjTAA,要件ヒアリング（人事部）,要件定義,完了,重要,佐藤 美咲,田中 健太,2026/04/06,2026/04/07,2026/04/13,いいえ,いいえ,2026/04/13,佐藤 美咲,"Predecessors:_eOGh--DLdmc4VuFKppJ-gOnvpAA
勤怠締め処理の実態を確認する。",ヒアリングシート作成;日程調整;議事録展開,ヒアリングシート作成;日程調整;議事録展開,要件定義
8V4-tojEnCwzk6UGQGU7uyEFR5AA,業務フロー図の作成,要件定義,完了,中,田中 健太;佐藤 美咲,田中 健太,2026/04/13,2026/04/14,2026/04/24,いいえ,いいえ,2026/04/23,佐藤 美咲,"Predecessors:sETiMVQJxjszVcn27Dhpjf3Y-uAA,hzjGjjr_kZX2jL91bEj9AqhGjTAA
As-Is / To-Be の業務フローを図式化する。",As-Is作成;To-Be作成;レビュー,As-Is作成;To-Be作成;レビュー,
ae9FpfUk3_q935wpFo-lGUsAspAA,要件定義書のレビューと承認,要件定義,完了,緊急,田中 健太,山本 拓也,2026/04/20,2026/04/27,2026/05/01,いいえ,いいえ,2026/05/01,山本 拓也,"Predecessors:8V4-tojEnCwzk6UGQGU7uyEFR5AA
情報システム部、営業部、人事部の三者レビューを経て承認を取得する。",レビュー会実施;指摘反映;承認取得,レビュー会実施;指摘反映;承認取得,要件定義;顧客報告
GISoCMAvQeiF-KinOPpmClVkhMAA,非機能要件の整理（性能・可用性）,要件定義,完了,中,山本 拓也,山本 拓也,2026/04/20,2026/04/22,2026/05/08,いいえ,いいえ,2026/05/07,山本 拓也,"Predecessors:8V4-tojEnCwzk6UGQGU7uyEFR5AA
同時接続数200、ピーク時レスポンス2秒以内を目標値とする。",性能要件定義;可用性要件定義;運用要件定義,性能要件定義;可用性要件定義;運用要件定義,
e1CndoNn-D2C00Jajbi612qE0RAA,画面遷移図の作成,UI/UXデザイン,完了,重要,渡辺 彩香,渡辺 彩香,2026/05/07,2026/05/11,2026/05/22,いいえ,いいえ,2026/05/21,渡辺 彩香,"Predecessors:ae9FpfUk3_q935wpFo-lGUsAspAA
全18画面の遷移をFigmaで整理する。",主要導線の整理;Figma作成;レビュー,主要導線の整理;Figma作成;レビュー,デザイン
_RNTZGSSxmWftcinDjalxHWGGdAA,デザインシステムの定義,UI/UXデザイン,完了,中,渡辺 彩香,渡辺 彩香,2026/05/07,2026/05/18,2026/06/05,いいえ,いいえ,2026/06/04,渡辺 彩香,"Predecessors:ae9FpfUk3_q935wpFo-lGUsAspAA
カラーパレット、タイポグラフィ、コンポーネント規約を策定。",カラー定義;タイポグラフィ定義;コンポーネント一覧,カラー定義;タイポグラフィ定義;コンポーネント一覧,デザイン
8jbGZ70xNpFZz-up-pKc3XiHR2AA,勤怠入力画面のモックアップ作成,UI/UXデザイン,進行中,重要,渡辺 彩香;中村 麻衣,渡辺 彩香,2026/06/01,2026/06/08,2026/08/07,いいえ,いいえ,,,"Predecessors:e1CndoNn-D2C00Jajbi612qE0RAA,_RNTZGSSxmWftcinDjalxHWGGdAA
打刻、修正申請、月次サマリーの3タブ構成でモックを作成する。",ワイヤーフレーム;ビジュアルデザイン;プロトタイプ;ユーザーレビュー,ワイヤーフレーム;ビジュアルデザイン,デザイン
9V-1iK-dgE2qzUg5VFa1RtdK-ZAA,アクセシビリティ対応方針の策定,UI/UXデザイン,未開始,低,中村 麻衣,渡辺 彩香,2026/06/15,2026/08/17,2026/09/04,いいえ,いいえ,,,"Predecessors:_RNTZGSSxmWftcinDjalxHWGGdAA
WCAG 2.1 AA準拠を目標とする。コントラスト比、キーボード操作、スクリーンリーダー対応の範囲を決める。",ガイドライン調査;対応範囲の決定;チェックリスト作成,,
fFFaIYtg_HBCbhSu1ZZOPU4j_TAA,DBスキーマ設計,バックエンド開発,完了,緊急,鈴木 大輔,山本 拓也,2026/05/11,2026/05/18,2026/06/05,いいえ,いいえ,2026/06/03,鈴木 大輔,"Predecessors:ae9FpfUk3_q935wpFo-lGUsAspAA,GISoCMAvQeiF-KinOPpmClVkhMAA
ユーザー、勤怠、申請、承認履歴の4系統でER図を作成する。",ER図作成;正規化レビュー;インデックス設計,ER図作成;正規化レビュー;インデックス設計,技術負債
